Training features,Precision 1,Precision 3,Precision 6,Precision macro avg
MPDC,0.07,0.31,0.3,0.23
APCPS,0.35,0.45,0.38,0.4
PD,0.29,0.4,0.5,0.35
Entropy,0.2,0.52,0.5,0.41
TTP,0.5,0.52,0.7,0.57
PST,0,0.41,0,0.14
MPDC/APCPS,0.15,0.4,0.44,0.33
MPDC/PD,0.43,0.39,0.46,0.43
MPDC/Entropy,0.2,0.42,0.48,0.37
MPDC/TTP,0.45,0.5,0.7,0.57
MPDC/PST,0.07,0.31,0.3,0.23
APCPS/PD,0.62,0.43,0.41,0.49
APCPS/Entropy,0.41,0.45,0.5,0.45
APCPS/TTP,0.41,0.55,0.71,0.56
APCPS/PST,0.35,0.45,0.38,0.4
PD/Entropy,0.5,0.35,0.46,0.44
PD/TTP,0.47,0.69,0.67,0.61
PD/PST,0.29,0.4,0.35,0.35
Entropy/TTP,0.62,0.76,0.69,0.69
Entropy/PST,0.2,0.52,0.5,0.41
TTP/PST,0.5,0.52,0.7,0.57
MPDC/APCPS/PD,0.58,0.57,0.39,0.51
MPDC/APCPS/Entropy,0.32,0.31,0.5,0.38
MPDC/APCPS/TTP,0.5,0.67,0.73,0.63
MPDC/APCPS/PST,0.29,0.46,0.48,0.41
MPDC/PD/Entropy,0.4,0.58,0.55,0.51
MPDC/PD/TTP,0.53,0.7,0.76,0.66
MPDC/PD/PST,0.47,0.47,0.48,0.47
MPDC/Entropy/TTP,0.59,0.7,0.7,0.66
MPDC/Entropy/PST,0.25,0.47,0.5,0.41
MPDC/TTP/PST,0.4,0.59,0.68,0.56
APCPS/PD/Entropy,0.41,0.61,0.61,0.54
APCPS/PD/TTP,0.5,0.65,0.73,0.63
APCPS/PD/PST,0.57,0.52,0.46,0.52
APCPS/Entropy/TTP,0.56,0.7,0.71,0.66
APCPS/Entropy/PST,0.44,0.44,0.48,0.46
APCPS/TTP/PST,0.44,0.6,0.75,0.6
PD/Entropy/TTP,0.59,0.76,0.69,0.68
PD/Entropy/PST,0.35,0.36,0.46,0.39
PD/TTP/PST,0.47,0.69,0.67,0.61
Entropy/TTP/PST,0.62,0.73,0.68,0.68
MPDC/APCPS/PD/Entropy,0.45,0.6,0.54,0.53
MPDC/APCPS/PD/TTP,0.46,0.57,0.73,0.59
MPDC/APCPS/PD/PST,0.54,0.57,0.44,0.52
MPDC/APCPS/Entropy/TTP,0.59,0.63,0.74,0.65
MPDC/APCPS/Entropy/PST,0.33,0.4,0.48,0.4
MPDC/APCPS/TTP/PST,0.4,0.55,0.71,0.55
MPDC/PD/Entropy/TTP,0.67,0.83,0.76,0.75
MPDC/PD/Entropy/PST,0.38,0.53,0.54,0.48
MPDC/PD/TTP/PST,0.5,0.68,0.79,0.66
MPDC/Entropy/TTP/PST,0.53,0.67,0.68,0.63
APCPS/PD/Entropy/TTP,0.62,0.72,0.76,0.7
APCPS/PD/Entropy/PST,0.38,0.67,0.58,0.54
APCPS/PD/TTP/PST,0.53,0.7,0.76,0.66
APCPS/Entropy/TTP/PST,0.57,0.7,0.73,0.67
PD/Entropy/TTP/PST,0.56,0.72,0.69,0.66
MPDC/APCPS/PD/Entropy/TTP,0.57,0.79,0.76,0.71
MPDC/APCPS/PD/Entropy/PST,0.48,0.62,0.54,0.55
MPDC/APCPS/PD/TTP/PST,0.5,0.68,0.79,0.66
MPDC/APCPS/Entropy/TTP/PST,0.62,0.73,0.76,0.7
MPDC/PD/Entropy/TTP/PST,0.69,0.76,0.76,0.74
APCPS/PD/Entropy/TTP/PST,0.6,0.74,0.76,0.7
MPDC/APCPS/PD/Entropy/TTP/PST,0.6,0.83,0.76,0.73
