Training features,Precision 1,Precision 3,Precision 6,Precision macro avg
MPDC,0.2,0.37,0.38,0.32
APCPS,0.23,0.42,0.37,0.34
PD,0.3,0.41,0.29,0.33
Entropy,0.33,0.52,0.32,0.39
TTP,0.5,0.63,0.68,0.61
PST,0,0.46,0,0.15
MPDC/APCPS,0.23,0.41,0.48,0.37
MPDC/PD,0.27,0.5,0.5,0.42
MPDC/Entropy,0.2,0.38,0.45,0.34
MPDC/TTP,0.67,0.74,0.71,0.71
MPDC/PST,0.2,0.37,0.38,0.32
APCPS/PD,0.38,0.56,0.48,0.47
APCPS/Entropy,0.17,0.41,0.4,0.32
APCPS/TTP,0.59,0.75,0.68,0.67
APCPS/PST,0.23,0.42,0.37,0.34
PD/Entropy,0.25,0.43,0.43,0.37
PD/TTP,0.64,0.7,0.74,0.69
PD/PST,0.33,0.44,0.29,0.35
Entropy/TTP,0.64,0.62,0.61,0.62
Entropy/PST,0.4,0.55,0.3,0.41
TTP/PST,0.54,0.65,0.68,0.62
MPDC/APCPS/PD,0.29,0.52,0.54,0.45
MPDC/APCPS/Entropy,0.36,0.45,0.47,0.43
MPDC/APCPS/TTP,0.62,0.76,0.68,0.69
MPDC/APCPS/PST,0.3,0.46,0.44,0.4
MPDC/PD/Entropy,0.23,0.36,0.5,0.36
MPDC/PD/TTP,0.75,0.72,0.64,0.7
MPDC/PD/PST,0.1,0.38,0.44,0.31
MPDC/Entropy/TTP,0.57,0.67,0.64,0.62
MPDC/Entropy/PST,0.2,0.43,0.43,0.35
MPDC/TTP/PST,0.62,0.71,0.68,0.67
APCPS/PD/Entropy,0.22,0.43,0.48,0.38
APCPS/PD/TTP,0.69,0.74,0.65,0.7
APCPS/PD/PST,0.23,0.5,0.5,0.41
APCPS/Entropy/TTP,0.6,0.72,0.65,0.66
APCPS/Entropy/PST,0.17,0.4,0.48,0.35
APCPS/TTP/PST,0.62,0.76,0.68,0.69
PD/Entropy/TTP,0.62,0.71,0.74,0.69
PD/Entropy/PST,0.43,0.43,0.38,0.42
PD/TTP/PST,0.69,0.71,0.74,0.71
Entropy/TTP/PST,0.64,0.66,0.7,0.67
MPDC/APCPS/PD/Entropy,0.33,0.38,0.47,0.39
MPDC/APCPS/PD/TTP,0.77,0.76,0.71,0.75
MPDC/APCPS/PD/PST,0.31,0.56,0.52,0.46
MPDC/APCPS/Entropy/TTP,0.57,0.73,0.65,0.65
MPDC/APCPS/Entropy/PST,0.36,0.43,0.45,0.42
MPDC/APCPS/TTP/PST,0.56,0.75,0.65,0.65
MPDC/PD/Entropy/TTP,0.67,0.76,0.65,0.69
MPDC/PD/Entropy/PST,0.17,0.33,0.47,0.32
MPDC/PD/TTP/PST,0.69,0.75,0.68,0.71
MPDC/Entropy/TTP/PST,0.6,0.7,0.6,0.63
APCPS/PD/Entropy/TTP,0.64,0.71,0.67,0.67
APCPS/PD/Entropy/PST,0.33,0.39,0.48,0.4
APCPS/PD/TTP/PST,0.71,0.78,0.68,0.72
APCPS/Entropy/TTP/PST,0.57,0.7,0.68,0.65
PD/Entropy/TTP/PST,0.62,0.68,0.74,0.68
MPDC/APCPS/PD/Entropy/TTP,0.69,0.72,0.67,0.69
MPDC/APCPS/PD/Entropy/PST,0.33,0.45,0.52,0.43
MPDC/APCPS/PD/TTP/PST,0.69,0.72,0.71,0.71
MPDC/APCPS/Entropy/TTP/PST,0.6,0.76,0.65,0.67
MPDC/PD/Entropy/TTP/PST,0.64,0.7,0.64,0.66
APCPS/PD/Entropy/TTP/PST,0.69,0.75,0.68,0.71
MPDC/APCPS/PD/Entropy/TTP/PST,0.69,0.71,0.68,0.7
