Training features,Precision 1,Precision 3,Precision 6,Precision macro avg
MPDC,0,0.46,0.54,0.33
APCPS,0,0.47,0.56,0.34
PD,0,0.42,0.48,0.3
Entropy,0,0.4,0.43,0.28
TTP,0.59,0.75,0.69,0.68
PST,0.8,0.58,0.56,0.65
MPDC/APCPS,0,0.46,0.54,0.33
MPDC/PD,0.33,0.49,0.62,0.48
MPDC/Entropy,0.5,0.49,0.58,0.52
MPDC/TTP,0.59,0.68,0.71,0.66
MPDC/PST,0.86,0.62,0.71,0.73
APCPS/PD,0.33,0.5,0.58,0.47
APCPS/Entropy,1,0.49,0.56,0.68
APCPS/TTP,0.59,0.68,0.71,0.66
APCPS/PST,0.86,0.62,0.71,0.73
PD/Entropy,0,0.41,0.48,0.3
PD/TTP,0.69,0.72,0.72,0.71
PD/PST,1,0.59,0.58,0.72
Entropy/TTP,0.64,0.68,0.71,0.68
Entropy/PST,1,0.61,0.56,0.72
TTP/PST,0.62,0.64,0.77,0.68
MPDC/APCPS/PD,0.33,0.49,0.56,0.46
MPDC/APCPS/Entropy,1,0.47,0.58,0.68
MPDC/APCPS/TTP,0.59,0.68,0.71,0.66
MPDC/APCPS/PST,1,0.58,0.71,0.76
MPDC/PD/Entropy,0.5,0.5,0.56,0.52
MPDC/PD/TTP,0.64,0.74,0.69,0.69
MPDC/PD/PST,1,0.6,0.7,0.77
MPDC/Entropy/TTP,0.6,0.7,0.72,0.67
MPDC/Entropy/PST,1,0.55,0.64,0.73
MPDC/TTP/PST,0.73,0.64,0.8,0.73
APCPS/PD/Entropy,0.5,0.48,0.53,0.51
APCPS/PD/TTP,0.64,0.74,0.69,0.69
APCPS/PD/PST,1,0.6,0.7,0.77
APCPS/Entropy/TTP,0.6,0.7,0.72,0.67
APCPS/Entropy/PST,1,0.58,0.67,0.75
APCPS/TTP/PST,0.67,0.61,0.8,0.69
PD/Entropy/TTP,0.67,0.72,0.69,0.69
PD/Entropy/PST,1,0.6,0.61,0.74
PD/TTP/PST,0.8,0.67,0.74,0.74
Entropy/TTP/PST,0.64,0.61,0.71,0.65
MPDC/APCPS/PD/Entropy,0.5,0.5,0.56,0.52
MPDC/APCPS/PD/TTP,0.6,0.72,0.78,0.7
MPDC/APCPS/PD/PST,1,0.58,0.7,0.76
MPDC/APCPS/Entropy/TTP,0.57,0.68,0.75,0.67
MPDC/APCPS/Entropy/PST,1,0.62,0.75,0.79
MPDC/APCPS/TTP/PST,0.75,0.61,0.8,0.72
MPDC/PD/Entropy/TTP,0.69,0.75,0.69,0.71
MPDC/PD/Entropy/PST,1,0.61,0.63,0.75
MPDC/PD/TTP/PST,0.8,0.67,0.85,0.77
MPDC/Entropy/TTP/PST,0.7,0.61,0.77,0.7
APCPS/PD/Entropy/TTP,0.71,0.78,0.69,0.73
APCPS/PD/Entropy/PST,1,0.61,0.63,0.75
APCPS/PD/TTP/PST,0.8,0.67,0.85,0.77
APCPS/Entropy/TTP/PST,0.7,0.61,0.77,0.7
PD/Entropy/TTP/PST,0.78,0.66,0.77,0.74
MPDC/APCPS/PD/Entropy/TTP,0.75,0.73,0.72,0.73
MPDC/APCPS/PD/Entropy/PST,1,0.56,0.62,0.73
MPDC/APCPS/PD/TTP/PST,0.82,0.66,0.85,0.77
MPDC/APCPS/Entropy/TTP/PST,0.78,0.64,0.81,0.74
MPDC/PD/Entropy/TTP/PST,0.78,0.62,0.77,0.73
APCPS/PD/Entropy/TTP/PST,0.78,0.62,0.77,0.73
MPDC/APCPS/PD/Entropy/TTP/PST,0.8,0.67,0.85,0.77
