Training features,Precision 1,Precision 3,Precision 6,Precision macro avg
MPDC,0.29,0.45,0.55,0.43
APCPS,0.3,0.45,0.57,0.44
PD,0.38,0.55,0.43,0.45
Entropy,0.24,0.33,0.23,0.27
TTP,0.47,0.52,0.74,0.58
PST,0,0.24,0.29,0.18
MPDC/APCPS,0.29,0.45,0.55,0.43
MPDC/PD,0.38,0.38,0.35,0.37
MPDC/Entropy,0.33,0.38,0.44,0.38
MPDC/TTP,0.43,0.55,0.68,0.55
MPDC/PST,0.28,0.39,0.92,0.53
APCPS/PD,0.38,0.4,0.4,0.39
APCPS/Entropy,0.47,0.44,0.44,0.45
APCPS/TTP,0.6,0.68,0.69,0.66
APCPS/PST,0.28,0.37,0.92,0.52
PD/Entropy,0.37,0.36,0.31,0.35
PD/TTP,0.42,0.46,0.57,0.48
PD/PST,0.13,0.11,0.48,0.24
Entropy/TTP,0.5,0.57,0.58,0.55
Entropy/PST,0.21,0,0.46,0.32
TTP/PST,0.3,0.45,0.76,0.51
MPDC/APCPS/PD,0.42,0.41,0.33,0.39
MPDC/APCPS/Entropy,0.25,0.54,0.44,0.41
MPDC/APCPS/TTP,0.4,0.57,0.68,0.55
MPDC/APCPS/PST,0.22,0.24,0.53,0.33
MPDC/PD/Entropy,0.45,0.45,0.47,0.46
MPDC/PD/TTP,0.53,0.58,0.52,0.54
MPDC/PD/PST,0.24,0.29,0.71,0.41
MPDC/Entropy/TTP,0.5,0.48,0.58,0.52
MPDC/Entropy/PST,0.21,0.27,0.62,0.37
MPDC/TTP/PST,0.35,0.5,0.81,0.55
APCPS/PD/Entropy,0.33,0.44,0.46,0.41
APCPS/PD/TTP,0.56,0.56,0.52,0.55
APCPS/PD/PST,0.26,0.38,0.8,0.48
APCPS/Entropy/TTP,0.47,0.57,0.64,0.56
APCPS/Entropy/PST,0.2,0.23,0.6,0.34
APCPS/TTP/PST,0.29,0.48,0.81,0.52
PD/Entropy/TTP,0.46,0.61,0.63,0.57
PD/Entropy/PST,0.23,0.31,0.42,0.32
PD/TTP/PST,0.36,0.5,0.81,0.56
Entropy/TTP/PST,0.39,0.48,0.67,0.51
MPDC/APCPS/PD/Entropy,0.42,0.42,0.33,0.39
MPDC/APCPS/PD/TTP,0.53,0.5,0.59,0.54
MPDC/APCPS/PD/PST,0.32,0.35,0.67,0.45
MPDC/APCPS/Entropy/TTP,0.5,0.54,0.63,0.56
MPDC/APCPS/Entropy/PST,0.25,0.38,0.57,0.4
MPDC/APCPS/TTP/PST,0.31,0.53,0.85,0.56
MPDC/PD/Entropy/TTP,0.5,0.64,0.65,0.6
MPDC/PD/Entropy/PST,0.16,0.42,0.67,0.42
MPDC/PD/TTP/PST,0.39,0.5,0.79,0.56
MPDC/Entropy/TTP/PST,0.32,0.52,0.7,0.51
APCPS/PD/Entropy/TTP,0.5,0.65,0.64,0.6
APCPS/PD/Entropy/PST,0.17,0.27,0.54,0.33
APCPS/PD/TTP/PST,0.38,0.52,0.77,0.56
APCPS/Entropy/TTP/PST,0.3,0.5,0.7,0.5
PD/Entropy/TTP/PST,0.33,0.54,0.81,0.56
MPDC/APCPS/PD/Entropy/TTP,0.53,0.52,0.59,0.55
MPDC/APCPS/PD/Entropy/PST,0.21,0.39,0.62,0.41
MPDC/APCPS/PD/TTP/PST,0.44,0.62,0.76,0.6
MPDC/APCPS/Entropy/TTP/PST,0.47,0.58,0.67,0.57
MPDC/PD/Entropy/TTP/PST,0.3,0.53,0.7,0.51
APCPS/PD/Entropy/TTP/PST,0.3,0.5,0.65,0.49
MPDC/APCPS/PD/Entropy/TTP/PST,0.44,0.6,0.77,0.6
